accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
build,"n. 构造；体形；体格
vi. 建筑；建造
vt. 建立；建筑"
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂"
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
climate,n. 气候；风气；思潮；风土
coat,"n. 外套
vt. 覆盖…的表面"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
construct,"n. 构想，概念
vt. 建造，构造；创立"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
cook,"n. 厨师，厨子
vt. 烹调，煮
vi. 烹调，做菜"
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
cry,"n. 叫喊；叫声；口号；呼叫
vi. 哭；叫；喊
vt. 叫喊；哭出；大声说"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
distinction,n. 区别；差别；特性；荣誉、勋章
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
doctor,"vt. 修理；篡改，伪造；为…治病；授以博士学位
n. 医生；博士
vi. 就医；行医"
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
end,"n. 结束；目标；尽头；末端；死亡
vi. 结束，终止；终结
vt. 结束，终止；终结"
engineer,"n. 工程师；工兵；火车司机
vt. 设计；策划；精明地处理
vi. 设计；建造"
equip,vt. 装备，配备
even,"adj.  偶数的；平坦的；相等的
adv. 甚至；即使；还；实际上
vt. 使平坦；使相等
vi. 变平；变得可比较；成为相等"
expose,vt. 揭露，揭发；使曝光；显示
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
favour,"n. 偏爱；赞同；善行
vt. 赞成；喜爱；有助于"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
fire,"n. 火；火灾；炮火；炉火；热情；激情；磨难
vt. 点燃；解雇；开除；使发光；烧制；激动；放枪
vi. 着火；射击；开枪；激动；烧火"
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
framework,n. 框架，骨架；结构，构架
game,"n. 游戏；比赛
adj. 勇敢的
vi. 赌博"
given,"prep. 考虑到
v. 给予（give的过去分词）
adj. 赠予的；沉溺的；规定的"
greet,vt. 欢迎，迎接；致敬，致意；映入眼帘
handsome,adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
harbour,"n. 海港（等于harbor）；避难所
vt. 庇护；藏匿；入港停泊
vi. 藏匿；入港停泊；庇护"
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
hook,"n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
house,"n. 住宅；家庭；机构；议会；某种用途的建筑物
vt. 覆盖；给…房子住；把…储藏在房内
vi. 住"
humor,"n. 幽默，诙谐；心情
vt. 迎合，迁就；顺应"
humour,"n. 幽默（等于humor）；诙谐
vt. 迁就；使满足"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
invent,vt. 发明；创造；虚构
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
line,"n. 路线，航线；排；绳
vt. 排成一行；划线于；以线条标示；使…起皱纹
vi. 排队；站成一排"
lot,"n. 份额；许多；命运；阄
adv. （与形容词和副词连用）很，非常；（与动词连用）非常
pron. 大量，许多
vt. 分组，把…划分（常与out连用）；把（土地）划分成块
vi. 抽签，拈阄"
mad,"adj. 疯狂的；发疯的；愚蠢的；着迷的
n. 狂怒"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
map,"vt. 映射；计划；绘制地图；确定基因在染色体中的位置
n. 地图；示意图；染色体图
vi. 基因被安置"
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
mirror,"n. 镜子；真实的写照；榜样
vt. 反射；反映"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
obvious,adj. 明显的；显著的；平淡无奇的
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
passage,n. 一段（文章）；走廊；通路
pen,"n. 钢笔；作家；围栏
vt. 写；关入栏中"
performance,n. 性能；绩效；表演；执行；表现
picture,"n. 照片，图画；影片；景色；化身
vt. 画；想像；描写"
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
plate,"n. 碟；金属板；金属牌；感光底片
vt. 电镀；给…装甲"
plus,"prep. 加，加上
n. 正号，加号；好处；附加额
adj. 正的；附加的"
pocket,"n. 口袋；钱；容器
adj. 小型的，袖珍的；金钱上的
vt. 隐藏；忍受；将…放入衣袋
vi. 形成袋或囊"
pool,"n. 联营；撞球；水塘；共同资金
vt. 合伙经营
vi. 联营，合伙经营"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
railroad,"n. 铁路；铁路公司
vt. 由铁道运输；铺设铁路；以捏造不实之罪使入狱
vi. 在铁路工作；乘火车旅行；筑铁路"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
read,"n. 阅读；读物
adj. 有学问的
vi. 读；读起来
vt. 阅读；读懂，理解"
ready,"n. 现款；预备好的状态
adj. 准备好；现成的；迅速的；情愿的；快要…的
vt. 使准备好
adv. 迅速地；预先"
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
riches,n. 财富；富有；房地产（rich的复数）
rip,"n. 裂口，裂缝
vi. 裂开，被撕裂
vt. 撕；锯"
rocket,"n. 火箭
vt. 用火箭运载
vi. 飞驰，飞快地移动；迅速增加"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
save,"prep. 除...之外
n. 救援
vi. 节省；挽救
vt. 节省；保存；储蓄；解救"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
see,"vi. 看；看见；领会
vt. 看见；理解；领会"
shake,"n. 摇动；哆嗦
vt. 动摇；摇动；震动；握手
vi. 动摇；摇动；发抖"
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
shore,"n. 海滨；支柱
vt. 支撑，使稳住；用支柱撑住"
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
shy,"n. 投掷；惊跳
adj. 害羞的；畏缩的，胆怯的
vi. 投；畏缩；惊退；厌恶
vt. 投；乱掷"
side,"n. 方面；侧面；旁边
adj. 旁的，侧的
vt. 同意，支持
vi. 支持；赞助；偏袒"
signature,n. 署名；签名；信号
sit,"vi. 坐；位于
vt. 使就座"
slow,"adj. 慢的；减速的；迟钝的
vt. 放慢；阻碍
vi. 变慢；变萧条
adv. 慢慢地；迟缓地"
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
spell,"n. 符咒；一段时间；魅力
vi. 拼字；轮替
vt. 拼，拼写；意味着；招致；拼成；迷住；轮值"
square,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地"
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角"
statement,n. 声明；陈述，叙述；报表，清单
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
story,"n. 故事；小说；新闻报道；来历；假话
vt. 用历史故事画装饰
vi. 说谎"
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
string,n. 线，弦，细绳；一串，一行
strong,"adj. 坚强的；强壮的；牢固的；擅长的
adv. 强劲地；猛烈地"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
suite,n. （一套）家具；套房；组曲；（一批）随员，随从
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
tell,"vt. 告诉，说；辨别；吩咐；断定
vi. 讲述；告发，泄密；识别"
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
tricky,adj. 狡猾的；机警的
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换"
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
union,n. 联盟，协会；工会；联合
universe,n. 宇宙；世界；领域
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
wake,"n. 尾迹；守夜；守丧
vt. 叫醒；激发
vi. 醒来；唤醒；警觉"
wash,"n. 洗涤；洗的衣服；化妆水；冲积物
vt. 洗涤；洗刷；冲走；拍打
vi. 洗澡；被冲蚀"
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
act against,"na. 违反(法律等)；作不利于…的事
 消灭；淘汰"
act out,"v. 演出
 表演；表演出来；把……表演出来"
agree on,"na. 对…意见一致
 同意；对……取得一致意见；商定"
all the more,"na. “All the better”的变体
 更加；益发；越发"
argue against,"na. 反对…
 据理反对；争辩；为反对…而辩论"
around the corner,"na. (=  round the corner)在拐角那里
 在拐角处；即将来临；即将到来"
at length,"na. 最后；充分地
 详细地；终于；终于，最终"
at odds with,"adj. 相抗争于
 与…不一致；与…不和；差异"
at risk,"un. 担风险
 有危险；在危险中；处于危险中"
at the brink of, 濒临……边缘
at the very least,"na. 一点
 至少；起码；最低限度"
back and forth,"na. 来回地
 反复地；往返；前后"
be akin to,"na. 是…的同族；类似
 类似于；相似的；法国"
bear out,"na. 证明
 证实；支持；证实是正确的"
bed down,"v. 使…安睡；下陷；卧睡
 铺床睡；安排过夜；准备住处"
beef up, <口>加强，补充（人数、兵力）等; 使更大（更好、更有意思等）
be flooded with, 充斥；充满；被……所淹没
bet on, 打赌；为某事打赌；就…打赌
boil down to,"na. (被)归结起来是…；(审判等到最后)表明
 归结为；简化为，归结为；归根到底"
boot up,"un. 启动；自举；引导；使系统开始工作
 开机；开机后；起动"
bound for,"adj. 驶往…的
 开往；飞往；开往……的"
break down,"v. 分解；抛锚；分析；划分
 损坏；出故障；瓦解"
break through,"na. 突破(点)；(科技等的)重大发现；关键问题的解决
 突围；冲破；冲垮"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
 分手；结束；分解"
break with,"na. 与…断绝关系；破除(恶习等)
 与...绝交；与…决裂"
bring about,"na. 造成；带来；(使船)回转
 引起；导致；产生"
bring back,"na. 送回；使恢复；使回忆起
 拿回来；带回；带回来"
bring down,"na. 降低；击落；削减；使落下
 打倒；使下降；使倒下"
bring forth,"na. 提出；生
 产生；使产生；发表"
bring in,"na. 生产；生(利)；收获(农作物等)；挣得(报酬等)
 引进；带来；引入"
bring out,"na. 公布；说出；出版；上演
 生产；阐明；说明"
bring ... to bear,"na. 施加(压力等)；瞄准；集中(力量)；完成
 实现；运用；产生影响"
bring ... to bear on,
bring together,"na. 集合
 使团结；使…团结起来；撮合"
bring up,"na. 抚养；教导；教育；在…长大
 培养；提出；养育"
burn down,"na. 把…烧成平地；(蜡烛等)逐渐烧完；火力减弱
 烧毁；烧光；烧为平地"
burst with,"na. 装满
 充满；突然发生；许多负面实体充满着"
buy up,"na. 囤积；整批收购；购进(其他公司)
 尽可能买进；全部买进；全部买下"
by all means,"na. 必定；千方百计；不惜一切；好的
 务必；一定；无论如何"
call for,"na. 呼吁；主张；需要；接(某人)
 要求；提倡；号召"
call on,"na. 号召；指名要(某人)去干(某事)；请求；访问
 拜访；呼吁；拜访某人"
call out,"na. 呼喊；大声叫唤；召集；号召罢工
 大声叫喊；唤起；出动"
capitalize on,"v. 利用
 投机倒把；从中利用；获利"
cater to,"v. 迎合
 投合；满足某种需要或要求；满足……的需要"
clamp down,"v. 严厉打击；强制执行；严禁；施压
 取缔；施加压力；对……施压"
close in on,"un. 崩塌下来；接近；笼罩
 包围；逼近；进逼"
close off,"na. 结(账)；隔离；封锁；阻塞
 结帐；封死；关闭"
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
 遇见；偶然遇见；碰到"
come away,"na. 脱掉
 离开；脱落；脱离"
come out,"na. 出来
 出现；出柜；现身"
come to life,"na. 苏醒过来
 复活；活跃起来；恢复生气"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
 赶上；找到；想出某事"
confide to,"v. 倾述
 信赖；透露"
could yet do sth.,
count for,"un. 倒数；算作
 有价值；有重要性；对……有价值"
count on,"na. 指望；预料到；期望
 依靠；依赖；期待"
crop up,"v. 突然发生；出现
 突然出现；出其不意；突然发生或出现"
crack down,"na. 敏捷地做；拼命做
 镇压；制裁；打击"
creep into,"na. 悄悄混进
 开始发生；开始发生于；溜进"
cut across,"na. 对直穿过；同“cut”
 抄近路；抄近路穿过；走捷径"
cut back,"na. 缩减；修剪(树枝等)；回叙往事
 削减；减少；消减"
cut out,"na. 割掉；除去；剪下；开辟
 停止；删除；切掉"
cut through,"v. 洞穿
 穿过；直通式；穿透"
depart from,"na. 背离；不合(习惯等)；违反
 离开；离开，起程；开出"
dip in,"v. 拿取自己的一份
 浸泡；蘸；沾"
do one's bit,"na. 见 bit 条
 尽自己的一份力量；尽力；尽一份力"
draw from, 从…得到; 根据（记忆、构想等）绘画; 从…召集; 从（某处）取出
draw on,"na. 穿；依赖；靠；吸收
 利用；戴上；动用"
drive away,"v. 赶走
 开走；把车开走；离开"
drive back," 驾车返回, 驱车返回; 迫使后退; 逐退; 却"
drive down,"na. 压低
 沿着……开车；降低；向下开"
drop out,"na. 退出；(因不满传统制度而)退出正常社会；落出；隐退
 退学；辍学；掉落"
embark on,"un. 着手
 从事；开始；开始着手做某事"
embed ... in,
fall off,"na. 下降；(从马上)掉下来；扫兴颓丧；离开
 跌落；减少；衰退"
fall out,"v. 吵架；争执；闹僵；分手
 争吵；脱落；闹翻"
fall short,"na. “come short”的变体
 不足；达不到；缺乏"
fend off,"na. 挡开；避开(灾祸等)
 挡回；抵御；垫开"
fight back,"na. 抵抗
 反击；还击；回击"
fight for,"v. 争取
 为…而战；为……而斗争；为…而战斗"
fight off, 在战斗中击败（某人）; 竭力摆脱; 辟
figure out,"na. 估计；解决；了解；确定
 想出；算出；计算出"
fill out,"na. 填写(表格等)；变胖；长胖；胖起来
 填表；填好；填充"
find one's way,"na. 到达
 找到路；设法到达；找到路径"
find one's way to,"na. 到达(目的地)
 设法赶到；设法到达；找到…的去路"
fit into, （使）适合， （使）合乎…的时间，与…融为一体; 纳入
flag up, 举旗
flesh out,"na. 充实；使…具体化
 使有血有肉；使之更充实并具体化；充实完整"
follow suit,"na. 跟出同花色的牌；学样
 跟着做；照着做；跟风"
follow through on,
follow through,"v. 坚持到底
 自始至终完成工作；进行到底；随球动作"
follow through with,彻底完成(计划、任务等)
for all,"na. 无论…怎样；虽有…仍然
 尽管；虽然；所有"
for good,"na. 永久地
 永远；一劳永逸地；永远地"
for the sake of,"adv. 为了…起见
 为了…的利益；为了…的目的；为了…的缘故"
fork over,"na. 交出
 付出；支付；交付"
fuss over,"v. 焦虑
 过分关心；过分体贴；因…着急"
get one's hands on,"un. 大干一番；拿到
 占有；得到，找到；弄到"
give away,"na. 赠送；分发；放弃；露马脚
 泄露；出卖；分送"
give priority to,"na. 把优先权让给…
 为主；优先考虑；认为优先"
give rise to,"na. 惹起
 引起；导致；使发生"
go about,"na. 走来走去；着手(工作)；(谣言等)流传；掉转船头
 从事；着手做；忙于"
go in for,"na. 赞成；寻求；参加
 从事；追求；爱好"
go off,"na. 进行得 (well； badly)；(话等)冒出
 爆炸；离开；离去"
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
 经历；经受；仔细检查"
grapple with, 与……搏斗；尽力解决；扭打
guard against,"v. 防止；加以预防；抵御
 提防；防备；防范"
hail from,"v. 来自
 出生于；来自于；来自或发源于"
hand out,"na. 分；拿出来；施舍
 分发；散发；分给"
hand over,"v. 转交；递给；送交(警察或有关当局)处理；移交(权力等)
 交出；让与；交给"
have one's hands full,"na. 手头事很多
 很忙；忙得不可开交；离不开手儿"
