establish,"vi. 植物定植
vt. 建立；创办；安置"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
center on,"un. 围绕
 以…为中心；集中于；集中围绕"
summarize,"vt. 总结；概述
vi. 作总结；作概括"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
regarding,prep. 关于，至于
with regard to,"na. 关于；对于；为了答复；“in/with regard to”的变体
 至于；就…而言；至于，就"
involve,vt. 包含；牵涉；使陷于；潜心于
refer to,"v. 查阅；提到
 参考；涉及；谈到"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
